Format,Code,Publication,Articles,Pages,Documents
Newspapers,MS,Manawatu Standard,2023178,136365,15263
Newspapers,MT,Manawatu Times,1297894,99982,11869
Newspapers,MTBM,Mt Benger Mail,74448,6347,1622
Newspapers,MW,Maoriland Worker,61442,6367,640
Newspapers,NA,Northern Advocate,1464180,108508,13361
Newspapers,NCGAZ,North Canterbury Gazette,41752,5074,627
Newspapers,NEM,Nelson Evening Mail,1914606,133039,22473
Newspapers,NENZC,Nelson Examiner and New Zealand Chronicle,87470,14018,3191
Newspapers,NOT,North Otago Times,778802,64701,14492
Newspapers,NZ,New Zealander,83184,12986,2556
Newspapers,NZABIG,New Zealand Advertiser and Bay of Islands Gazette,325,117,27
Newspapers,NZCPNA,New Zealand Colonist and Port Nicholson Advertiser,1946,423,105
Newspapers,NZFL,Free Lance,78587,22563,952
Newspapers,NZGWS,New Zealand Gazette and Wellington Spectator,7074,1508,369
Newspapers,NZH,New Zealand Herald,4068802,307681,25469
Newspapers,NZHAG,New Zealand Herald and Auckland Gazette,1300,278,65
Newspapers,NZMAIL,New Zealand Mail,335167,76688,1854
Newspapers,NZSCSG,New Zealand Spectator and Cook's Strait Guardian,18978,4067,1035
Newspapers,NZTIM,New Zealand Times,1390300,107276,14335
Newspapers,NZTR,NZ Truth,178544,15122,1282
Newspapers,OAM,Oamaru Mail,826563,67107,13891
Newspapers,ODT,Otago Daily Times,3443838,258275,27607
Newspapers,OG,Ohinemuri Gazette,180296,15455,3870
Newspapers,OO,Oxford Observer,12448,1930,472
Newspapers,OPNEWS,Opotiki News,56380,5792,1487
Newspapers,OPUNT,Opunake Times,196475,20628,5186
Newspapers,OSWCC,Otautau Standard and Wallace County Chronicle,66338,8042,1457
Newspapers,OTMAIL,Otaki Mail,113897,9374,2438
Newspapers,OW,Otago Witness,876181,155776,3630
Newspapers,PAKIOM,Paki o Matariki,199,82,34
Newspapers,PATM,Patea Mail,406924,35873,9281
Newspapers,PBH,Poverty Bay Herald,2162618,144331,18935
Newspapers,PGAMA,Pelorus Guardian and Miners' Advocate.,176165,18815,3123
Newspapers,PIHOI,Pihoihoi Mokemoke i Runga i te Tuanui,22,22,5
Newspapers,PUKEH,Puke ki Hikurangi,2269,1293,183
Newspapers,PWT,Pukekohe & Waiuku Times,46673,4135,924
Newspapers,RAMA,Rangitikei Advocate and Manawatu Argus,309881,24743,3415
Newspapers,ROTWKG,"Rodney and Otamatea Times, Waitemata and Kaipara Gazette",91662,14182,2171
Newspapers,SAMZ,Samoanische Zeitung,41298,9946,984
Newspapers,SATADV,Saturday Advertiser,13813,3151,181
Newspapers,SCANT,South Canterbury Times,309623,24752,6241
Newspapers,SNEWS,Shannon News,32654,3567,931
Newspapers,SOCR,Southern Cross,97315,23442,1448
Newspapers,ST,Southland Times,869812,71910,13669
Newspapers,STEP,Stratford Evening Post,676736,59421,7778
Newspapers,STSSA,Samoa Times and South Sea Advertiser,11883,1629,405
Newspapers,STSSG,Samoa Times and South Sea Gazette,5577,801,200
Newspapers,SUNCH,Sun (Christchurch),325144,27412,2152
Newspapers,SWH,Samoa Weekly Herald,11802,1508,374
Newspapers,TAIDT,Taihape Daily Times,115444,14834,1925
Newspapers,TAKIT,Takitimu,31,8,1
Newspapers,TAN,Te Aroha News,162868,16694,4250
Newspapers,TC,Colonist,1079389,71703,15014
Newspapers,TDN,Taranaki Daily News,525341,38212,6238
Newspapers,TEML,Temuka Leader,345603,31605,7930
Newspapers,TGMR,Thames Guardian and Mining Record,11252,1120,283
Newspapers,TH,Taranaki Herald,1123270,84002,15060
Newspapers,THA,Thames Advertiser,313169,29814,7500
Newspapers,THD,Timaru Herald,1340362,128222,17765
Newspapers,THS,Thames Star,1282949,90961,18921
Newspapers,TO,Observer,177807,44317,1948
Newspapers,TPT,Te Puke Times,156342,16291,3944
Newspapers,TS,Star (Christchurch),1313517,81934,16465
Newspapers,TT,Tuapeka Times,239705,24261,5197
Newspapers,UHWR,Upper Hutt Weekly Review,4017,663,173
Newspapers,VT,Victoria Times,9,4,1
Newspapers,WAG,Wairarapa Age,448991,36866,4681
Newspapers,WAIGUS,Waikato Argus,294353,21104,5189
Newspapers,WAIKIN,Waikato Independent,366380,49024,6588
Newspapers,WAIPO,Waipa Post,243237,24269,3437
Newspapers,WAIST,Wairarapa Standard,84208,10082,2592
Newspapers,WAKAM,Waka Maori,5343,2814,325
Newspapers,WANANG,Wananga,4226,2200,178
Newspapers,WC,Wanganui Chronicle,1274642,79867,15262
Newspapers,WCT,West Coast Times,710040,61689,15797
Newspapers,WDA,Waimate Daily Advertiser,124263,12572,3345
Newspapers,WDT,Wairarapa Daily Times,1424352,112197,18299
Newspapers,WEST,Westport Times,76043,8873,2239
Newspapers,WH,Wanganui Herald,1246105,88536,16648
Newspapers,WHDT,Waihi Daily Telegraph,326175,26460,7064
Newspapers,WHETU,Whetu o te Tau,66,20,5
Newspapers,WI,Wellington Independent,142109,19799,3930
Newspapers,WOODEX,Woodville Examiner,268050,23464,5543
Newspapers,WSTAR,Western Star,267183,27877,6454
Newspapers,WT,Waikato Times,1306209,99232,11569
Parliamentary Papers,AJHR,Appendix to the Journals of the House of Representatives,14494,316973,101
Parliamentary Papers,VP,Votes and Proceedings of the House of Representatives,205,2141,3
